outer_fold,inner_fold,row,patient,role
0,0,640,mitdb/121,train
0,0,641,mitdb/121,train
0,0,642,mitdb/121,train
0,0,643,mitdb/121,train
0,0,644,mitdb/121,train
0,0,645,mitdb/121,train
0,0,646,mitdb/121,train
0,0,647,mitdb/121,train
0,0,648,mitdb/121,train
0,0,649,mitdb/121,train
0,0,650,mitdb/122,train
0,0,651,mitdb/122,train
0,0,652,mitdb/122,train
0,0,653,mitdb/122,train
0,0,654,mitdb/122,train
0,0,655,mitdb/122,train
0,0,656,mitdb/122,train
0,0,657,mitdb/122,train
0,0,658,mitdb/122,train
0,0,659,mitdb/122,train
0,0,690,mitdb/200,train
0,0,691,mitdb/200,train
0,0,692,mitdb/200,train
0,0,693,mitdb/200,train
0,0,694,mitdb/200,train
0,0,695,mitdb/200,train
0,0,696,mitdb/200,train
0,0,697,mitdb/200,train
0,0,698,mitdb/200,train
0,0,699,mitdb/200,train
0,0,720,mitdb/203,train
0,0,721,mitdb/203,train
0,0,722,mitdb/203,train
0,0,723,mitdb/203,train
0,0,724,mitdb/203,train
0,0,725,mitdb/203,train
0,0,726,mitdb/203,train
0,0,727,mitdb/203,train
0,0,728,mitdb/203,train
0,0,729,mitdb/203,train
0,0,740,mitdb/207,train
0,0,741,mitdb/207,train
0,0,742,mitdb/207,train
0,0,743,mitdb/207,train
0,0,744,mitdb/207,train
0,0,745,mitdb/207,train
0,0,746,mitdb/207,train
0,0,747,mitdb/207,train
0,0,748,mitdb/207,train
0,0,749,mitdb/207,train
0,0,750,mitdb/208,train
0,0,751,mitdb/208,train
0,0,752,mitdb/208,train
0,0,753,mitdb/208,train
0,0,754,mitdb/208,train
0,0,755,mitdb/208,train
0,0,756,mitdb/208,train
0,0,757,mitdb/208,train
0,0,758,mitdb/208,train
0,0,759,mitdb/208,train
0,0,770,mitdb/107,train
0,0,771,mitdb/107,train
0,0,772,mitdb/107,train
0,0,773,mitdb/107,train
0,0,774,mitdb/107,train
0,0,775,mitdb/107,train
0,0,776,mitdb/107,train
0,0,777,mitdb/107,train
0,0,778,mitdb/107,train
0,0,779,mitdb/107,train
0,0,790,mitdb/212,train
0,0,791,mitdb/212,train
0,0,792,mitdb/212,train
0,0,793,mitdb/212,train
0,0,794,mitdb/212,train
0,0,795,mitdb/212,train
0,0,796,mitdb/212,train
0,0,797,mitdb/212,train
0,0,798,mitdb/212,train
0,0,799,mitdb/212,train
0,0,800,mitdb/213,train
0,0,801,mitdb/213,train
0,0,802,mitdb/213,train
0,0,803,mitdb/213,train
0,0,804,mitdb/213,train
0,0,805,mitdb/213,train
0,0,806,mitdb/213,train
0,0,807,mitdb/213,train
0,0,808,mitdb/213,train
0,0,809,mitdb/213,train
0,0,820,mitdb/215,train
0,0,821,mitdb/215,train
0,0,822,mitdb/215,train
0,0,823,mitdb/215,train
0,0,824,mitdb/215,train
0,0,825,mitdb/215,train
0,0,826,mitdb/215,train
0,0,827,mitdb/215,train
0,0,828,mitdb/215,train
0,0,829,mitdb/215,train
0,0,840,mitdb/219,train
0,0,841,mitdb/219,train
0,0,842,mitdb/219,train
0,0,843,mitdb/219,train
0,0,844,mitdb/219,train
0,0,845,mitdb/219,train
0,0,846,mitdb/219,train
0,0,847,mitdb/219,train
0,0,848,mitdb/219,train
0,0,849,mitdb/219,train
0,0,850,mitdb/220,train
0,0,851,mitdb/220,train
0,0,852,mitdb/220,train
0,0,853,mitdb/220,train
0,0,854,mitdb/220,train
0,0,855,mitdb/220,train
0,0,856,mitdb/220,train
0,0,857,mitdb/220,train
0,0,858,mitdb/220,train
0,0,859,mitdb/220,train
0,0,910,mitdb/230,train
0,0,911,mitdb/230,train
0,0,912,mitdb/230,train
0,0,913,mitdb/230,train
0,0,914,mitdb/230,train
0,0,915,mitdb/230,train
0,0,916,mitdb/230,train
0,0,917,mitdb/230,train
0,0,918,mitdb/230,train
0,0,919,mitdb/230,train
0,0,930,mitdb/232,train
0,0,931,mitdb/232,train
0,0,932,mitdb/232,train
0,0,933,mitdb/232,train
0,0,934,mitdb/232,train
0,0,935,mitdb/232,train
0,0,936,mitdb/232,train
0,0,937,mitdb/232,train
0,0,938,mitdb/232,train
0,0,939,mitdb/232,train
0,0,950,mitdb/234,train
0,0,951,mitdb/234,train
0,0,952,mitdb/234,train
0,0,953,mitdb/234,train
0,0,954,mitdb/234,train
0,0,955,mitdb/234,train
0,0,956,mitdb/234,train
0,0,957,mitdb/234,train
0,0,958,mitdb/234,train
0,0,959,mitdb/234,train
0,0,990,chfdb/chf12,train
0,0,991,chfdb/chf12,train
0,0,992,chfdb/chf12,train
0,0,993,chfdb/chf12,train
0,0,994,chfdb/chf12,train
0,0,995,chfdb/chf12,train
0,0,996,chfdb/chf12,train
0,0,997,chfdb/chf12,train
0,0,998,chfdb/chf12,train
0,0,999,chfdb/chf12,train
0,0,1000,chfdb/chf13,train
0,0,1001,chfdb/chf13,train
0,0,1002,chfdb/chf13,train
0,0,1003,chfdb/chf13,train
0,0,1004,chfdb/chf13,train
0,0,1005,chfdb/chf13,train
0,0,1006,chfdb/chf13,train
0,0,1007,chfdb/chf13,train
0,0,1008,chfdb/chf13,train
0,0,1009,chfdb/chf13,train
0,0,1020,chfdb/chf15,train
0,0,1021,chfdb/chf15,train
0,0,1022,chfdb/chf15,train
0,0,1023,chfdb/chf15,train
0,0,1024,chfdb/chf15,train
0,0,1025,chfdb/chf15,train
0,0,1026,chfdb/chf15,train
0,0,1027,chfdb/chf15,train
0,0,1028,chfdb/chf15,train
0,0,1029,chfdb/chf15,train
0,0,1040,chfdb/chf02,train
0,0,1041,chfdb/chf02,train
0,0,1042,chfdb/chf02,train
0,0,1043,chfdb/chf02,train
0,0,1044,chfdb/chf02,train
0,0,1045,chfdb/chf02,train
0,0,1046,chfdb/chf02,train
0,0,1047,chfdb/chf02,train
0,0,1048,chfdb/chf02,train
0,0,1049,chfdb/chf02,train
0,0,1050,chfdb/chf03,train
0,0,1051,chfdb/chf03,train
0,0,1052,chfdb/chf03,train
0,0,1053,chfdb/chf03,train
0,0,1054,chfdb/chf03,train
0,0,1055,chfdb/chf03,train
0,0,1056,chfdb/chf03,train
0,0,1057,chfdb/chf03,train
0,0,1058,chfdb/chf03,train
0,0,1059,chfdb/chf03,train
0,0,1070,chfdb/chf02,train
0,0,1071,chfdb/chf02,train
0,0,1072,chfdb/chf02,train
0,0,1073,chfdb/chf02,train
0,0,1074,chfdb/chf02,train
0,0,1075,chfdb/chf02,train
0,0,1076,chfdb/chf02,train
0,0,1077,chfdb/chf02,train
0,0,1078,chfdb/chf02,train
0,0,1079,chfdb/chf02,train
0,0,1080,chfdb/chf05,train
0,0,1081,chfdb/chf05,train
0,0,1082,chfdb/chf05,train
0,0,1083,chfdb/chf05,train
0,0,1084,chfdb/chf05,train
0,0,1085,chfdb/chf05,train
0,0,1086,chfdb/chf05,train
0,0,1087,chfdb/chf05,train
0,0,1088,chfdb/chf05,train
0,0,1089,chfdb/chf05,train
0,0,1100,chfdb/chf07,train
0,0,1101,chfdb/chf07,train
0,0,1102,chfdb/chf07,train
0,0,1103,chfdb/chf07,train
0,0,1104,chfdb/chf07,train
0,0,1105,chfdb/chf07,train
0,0,1106,chfdb/chf07,train
0,0,1107,chfdb/chf07,train
0,0,1108,chfdb/chf07,train
0,0,1109,chfdb/chf07,train
0,0,1120,chfdb/chf09,train
0,0,1121,chfdb/chf09,train
0,0,1122,chfdb/chf09,train
0,0,1123,chfdb/chf09,train
0,0,1124,chfdb/chf09,train
0,0,1125,chfdb/chf09,train
0,0,1126,chfdb/chf09,train
0,0,1127,chfdb/chf09,train
0,0,1128,chfdb/chf09,train
0,0,1129,chfdb/chf09,train
0,0,1150,chfdb/chf12,train
0,0,1151,chfdb/chf12,train
0,0,1152,chfdb/chf12,train
0,0,1153,chfdb/chf12,train
0,0,1154,chfdb/chf12,train
0,0,1155,chfdb/chf12,train
0,0,1156,chfdb/chf12,train
0,0,1157,chfdb/chf12,train
0,0,1158,chfdb/chf12,train
0,0,1159,chfdb/chf12,train
0,0,1160,chfdb/chf13,train
0,0,1161,chfdb/chf13,train
0,0,1162,chfdb/chf13,train
0,0,1163,chfdb/chf13,train
0,0,1164,chfdb/chf13,train
0,0,1165,chfdb/chf13,train
0,0,1166,chfdb/chf13,train
0,0,1167,chfdb/chf13,train
0,0,1168,chfdb/chf13,train
0,0,1169,chfdb/chf13,train
0,0,1180,chfdb/chf03,train
0,0,1181,chfdb/chf03,train
0,0,1182,chfdb/chf03,train
0,0,1183,chfdb/chf03,train
0,0,1184,chfdb/chf03,train
0,0,1185,chfdb/chf03,train
0,0,1186,chfdb/chf03,train
0,0,1187,chfdb/chf03,train
0,0,1188,chfdb/chf03,train
0,0,1189,chfdb/chf03,train
0,0,1190,chfdb/chf15,train
0,0,1191,chfdb/chf15,train
0,0,1192,chfdb/chf15,train
0,0,1193,chfdb/chf15,train
0,0,1194,chfdb/chf15,train
0,0,1195,chfdb/chf15,train
0,0,1196,chfdb/chf15,train
0,0,1197,chfdb/chf15,train
0,0,1198,chfdb/chf15,train
0,0,1199,chfdb/chf15,train
0,0,1210,chfdb/chf05,train
0,0,1211,chfdb/chf05,train
0,0,1212,chfdb/chf05,train
0,0,1213,chfdb/chf05,train
0,0,1214,chfdb/chf05,train
0,0,1215,chfdb/chf05,train
0,0,1216,chfdb/chf05,train
0,0,1217,chfdb/chf05,train
0,0,1218,chfdb/chf05,train
0,0,1219,chfdb/chf05,train
0,0,1230,chfdb/chf07,train
0,0,1231,chfdb/chf07,train
0,0,1232,chfdb/chf07,train
0,0,1233,chfdb/chf07,train
0,0,1234,chfdb/chf07,train
0,0,1235,chfdb/chf07,train
0,0,1236,chfdb/chf07,train
0,0,1237,chfdb/chf07,train
0,0,1238,chfdb/chf07,train
0,0,1239,chfdb/chf07,train
0,0,1250,chfdb/chf09,train
0,0,1251,chfdb/chf09,train
0,0,1252,chfdb/chf09,train
0,0,1253,chfdb/chf09,train
0,0,1254,chfdb/chf09,train
0,0,1255,chfdb/chf09,train
0,0,1256,chfdb/chf09,train
0,0,1257,chfdb/chf09,train
0,0,1258,chfdb/chf09,train
0,0,1259,chfdb/chf09,train
0,0,1280,nsrdb/17453,train
0,0,1281,nsrdb/17453,train
0,0,1282,nsrdb/17453,train
0,0,1283,nsrdb/17453,train
0,0,1284,nsrdb/17453,train
0,0,1285,nsrdb/17453,train
0,0,1286,nsrdb/17453,train
0,0,1287,nsrdb/17453,train
0,0,1288,nsrdb/17453,train
0,0,1289,nsrdb/17453,train
0,0,1290,nsrdb/18177,train
0,0,1291,nsrdb/18177,train
0,0,1292,nsrdb/18177,train
0,0,1293,nsrdb/18177,train
0,0,1294,nsrdb/18177,train
0,0,1295,nsrdb/18177,train
0,0,1296,nsrdb/18177,train
0,0,1297,nsrdb/18177,train
0,0,1298,nsrdb/18177,train
0,0,1299,nsrdb/18177,train
0,0,1300,nsrdb/18184,train
0,0,1301,nsrdb/18184,train
0,0,1302,nsrdb/18184,train
0,0,1303,nsrdb/18184,train
0,0,1304,nsrdb/18184,train
0,0,1305,nsrdb/18184,train
0,0,1306,nsrdb/18184,train
0,0,1307,nsrdb/18184,train
0,0,1308,nsrdb/18184,train
0,0,1309,nsrdb/18184,train
0,0,1310,nsrdb/19088,train
0,0,1311,nsrdb/19088,train
0,0,1312,nsrdb/19088,train
0,0,1313,nsrdb/19088,train
0,0,1314,nsrdb/19088,train
0,0,1315,nsrdb/19088,train
0,0,1316,nsrdb/19088,train
0,0,1317,nsrdb/19088,train
0,0,1318,nsrdb/19088,train
0,0,1319,nsrdb/19088,train
0,0,1330,nsrdb/19093,train
0,0,1331,nsrdb/19093,train
0,0,1332,nsrdb/19093,train
0,0,1333,nsrdb/19093,train
0,0,1334,nsrdb/19093,train
0,0,1335,nsrdb/19093,train
0,0,1336,nsrdb/19093,train
0,0,1337,nsrdb/19093,train
0,0,1338,nsrdb/19093,train
0,0,1339,nsrdb/19093,train
0,0,1350,nsrdb/19830,train
0,0,1351,nsrdb/19830,train
0,0,1352,nsrdb/19830,train
0,0,1353,nsrdb/19830,train
0,0,1354,nsrdb/19830,train
0,0,1355,nsrdb/19830,train
0,0,1356,nsrdb/19830,train
0,0,1357,nsrdb/19830,train
0,0,1358,nsrdb/19830,train
0,0,1359,nsrdb/19830,train
0,0,1390,nsrdb/16273,train
0,0,1391,nsrdb/16273,train
0,0,1392,nsrdb/16273,train
0,0,1393,nsrdb/16273,train
0,0,1394,nsrdb/16273,train
0,0,1395,nsrdb/16273,train
0,0,1396,nsrdb/16273,train
0,0,1397,nsrdb/16273,train
0,0,1398,nsrdb/16273,train
0,0,1399,nsrdb/16273,train
0,0,1400,nsrdb/16420,train
0,0,1401,nsrdb/16420,train
0,0,1402,nsrdb/16420,train
0,0,1403,nsrdb/16420,train
0,0,1404,nsrdb/16420,train
0,0,1405,nsrdb/16420,train
0,0,1406,nsrdb/16420,train
0,0,1407,nsrdb/16420,train
0,0,1408,nsrdb/16420,train
0,0,1409,nsrdb/16420,train
0,0,1450,nsrdb/16795,train
0,0,1451,nsrdb/16795,train
0,0,1452,nsrdb/16795,train
0,0,1453,nsrdb/16795,train
0,0,1454,nsrdb/16795,train
0,0,1455,nsrdb/16795,train
0,0,1456,nsrdb/16795,train
0,0,1457,nsrdb/16795,train
0,0,1458,nsrdb/16795,train
0,0,1459,nsrdb/16795,train
0,0,1470,nsrdb/17453,train
0,0,1471,nsrdb/17453,train
0,0,1472,nsrdb/17453,train
0,0,1473,nsrdb/17453,train
0,0,1474,nsrdb/17453,train
0,0,1475,nsrdb/17453,train
0,0,1476,nsrdb/17453,train
0,0,1477,nsrdb/17453,train
0,0,1478,nsrdb/17453,train
0,0,1479,nsrdb/17453,train
0,0,1480,nsrdb/16273,train
0,0,1481,nsrdb/16273,train
0,0,1482,nsrdb/16273,train
0,0,1483,nsrdb/16273,train
0,0,1484,nsrdb/16273,train
0,0,1485,nsrdb/16273,train
0,0,1486,nsrdb/16273,train
0,0,1487,nsrdb/16273,train
0,0,1488,nsrdb/16273,train
0,0,1489,nsrdb/16273,train
0,0,1490,nsrdb/18177,train
0,0,1491,nsrdb/18177,train
0,0,1492,nsrdb/18177,train
0,0,1493,nsrdb/18177,train
0,0,1494,nsrdb/18177,train
0,0,1495,nsrdb/18177,train
0,0,1496,nsrdb/18177,train
0,0,1497,nsrdb/18177,train
0,0,1498,nsrdb/18177,train
0,0,1499,nsrdb/18177,train
0,0,1500,nsrdb/18184,train
0,0,1501,nsrdb/18184,train
0,0,1502,nsrdb/18184,train
0,0,1503,nsrdb/18184,train
0,0,1504,nsrdb/18184,train
0,0,1505,nsrdb/18184,train
0,0,1506,nsrdb/18184,train
0,0,1507,nsrdb/18184,train
0,0,1508,nsrdb/18184,train
0,0,1509,nsrdb/18184,train
0,0,1510,nsrdb/19088,train
0,0,1511,nsrdb/19088,train
0,0,1512,nsrdb/19088,train
0,0,1513,nsrdb/19088,train
0,0,1514,nsrdb/19088,train
0,0,1515,nsrdb/19088,train
0,0,1516,nsrdb/19088,train
0,0,1517,nsrdb/19088,train
0,0,1518,nsrdb/19088,train
0,0,1519,nsrdb/19088,train
0,0,1530,nsrdb/19093,train
0,0,1531,nsrdb/19093,train
0,0,1532,nsrdb/19093,train
0,0,1533,nsrdb/19093,train
0,0,1534,nsrdb/19093,train
0,0,1535,nsrdb/19093,train
0,0,1536,nsrdb/19093,train
0,0,1537,nsrdb/19093,train
0,0,1538,nsrdb/19093,train
0,0,1539,nsrdb/19093,train
0,0,1550,nsrdb/19830,train
0,0,1551,nsrdb/19830,train
0,0,1552,nsrdb/19830,train
0,0,1553,nsrdb/19830,train
0,0,1554,nsrdb/19830,train
0,0,1555,nsrdb/19830,train
0,0,1556,nsrdb/19830,train
0,0,1557,nsrdb/19830,train
0,0,1558,nsrdb/19830,train
0,0,1559,nsrdb/19830,train
0,0,1560,nsrdb/16420,train
0,0,1561,nsrdb/16420,train
0,0,1562,nsrdb/16420,train
0,0,1563,nsrdb/16420,train
0,0,1564,nsrdb/16420,train
0,0,1565,nsrdb/16420,train
0,0,1566,nsrdb/16420,train
0,0,1567,nsrdb/16420,train
0,0,1568,nsrdb/16420,train
0,0,1569,nsrdb/16420,train
0,0,1610,nsrdb/16795,train
0,0,1611,nsrdb/16795,train
0,0,1612,nsrdb/16795,train
0,0,1613,nsrdb/16795,train
0,0,1614,nsrdb/16795,train
0,0,1615,nsrdb/16795,train
0,0,1616,nsrdb/16795,train
0,0,1617,nsrdb/16795,train
0,0,1618,nsrdb/16795,train
0,0,1619,nsrdb/16795,train
0,0,10,mitdb/109,validation
0,0,11,mitdb/109,validation
0,0,12,mitdb/109,validation
0,0,13,mitdb/109,validation
0,0,14,mitdb/109,validation
0,0,15,mitdb/109,validation
0,0,16,mitdb/109,validation
0,0,17,mitdb/109,validation
0,0,18,mitdb/109,validation
0,0,19,mitdb/109,validation
0,0,100,mitdb/119,validation
0,0,101,mitdb/119,validation
0,0,102,mitdb/119,validation
0,0,103,mitdb/119,validation
0,0,104,mitdb/119,validation
0,0,105,mitdb/119,validation
0,0,106,mitdb/119,validation
0,0,107,mitdb/119,validation
0,0,108,mitdb/119,validation
0,0,109,mitdb/119,validation
0,0,140,mitdb/123,validation
0,0,141,mitdb/123,validation
